DicAttributeID	DicOperationTypeID	DicAttributeTypeID	Name	IsRequired	IsNext	IsDisplayed	IsEditable	DateCreated	CreatedBy	DateUpdated	UpdatedBy
154	18	3	workgroup	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
155	18	3	nextStep_Accepted	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
156	18	3	nextStep_Rejected	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
157	18	3	nextStep_Failure	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
158	18	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
159	15	1	active	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
160	15	3	sourceId	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
161	4	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
162	4	2	applicationId	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
163	4	3	prompt	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
164	4	3	languages	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
165	4	2	maxTries	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
166	4	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
167	22	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
168	22	3	target	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
169	22	3	parameters	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
170	22	1	attendTransfer	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
171	22	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
172	22	3	nextStep_Failure	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
173	22	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
174	17	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
175	17	3	nextStep_Escape	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
176	17	3	nextStep_Error	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
177	17	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
178	1	3	language	0	0	0	0	2026-07-01 10:48:58.3133333	GDG546@engie.com	NULL	NULL
179	1	3	ani	0	0	0	0	2026-07-01 10:49:25.9766667	GDG546@engie.com	NULL	NULL
180	1	3	dnis	0	0	0	0	2026-07-01 10:49:42.5633333	GDG546@engie.com	NULL	NULL
181	1	3	interactionStartTime	0	0	0	0	2026-07-01 10:50:04.0533333	GDG546@engie.com	NULL	NULL
182	1	3	routingKey	0	0	0	0	2026-07-01 10:50:39.6966667	GDG546@engie.com	NULL	NULL

